smiles,target_name,pActivity,activity_nM,target_chembl_id
CCCCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.995678626217357,1010.0,CHEMBL203
CCCCCCCCCCCCNC(=O)/C=C/c1ccccc1,EGFR,4.414990720097539,38460.0,CHEMBL203
CCCCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.896196279044043,1270.0,CHEMBL203
CCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.764471553092451,1720.0,CHEMBL203
CCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.669586226650809,2140.0,CHEMBL203
CCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.507239610973162,3110.0,CHEMBL203
CCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.446116973356125,3580.0,CHEMBL203
CCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.304518323509802,4960.0,CHEMBL203
CCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.273272790973428,5330.0,CHEMBL203
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,EGFR,6.099960764512675,794.4,CHEMBL203
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,HTR2B,6.027334407733889,939.0,CHEMBL1833
CCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.2335871528876,5840.0,CHEMBL203
CCCCCCCCc1ccc(O)cc1,EGFR,4.789975926195767,16219.0,CHEMBL203
CCCCCCCCc1cccc(CCCCCCCC)[n+]1C,KCNH2,7.823908740944319,15.0,CHEMBL240
CCCCCCCN(CC)C/C=C/CCc1ccc(Cl)cc1,KCNH2,6.623423042943488,238.0,CHEMBL240
CCCCCCCN(CC)C/C=C/Cc1ccc(Cl)cc1,KCNH2,7.309803919971486,49.0,CHEMBL240
CCCCCCCN(CC)C/C=C/Cc1ccccc1,KCNH2,6.75448733218585,176.0,CHEMBL240
CCCCCCCN(CC)C/C=C/c1ccc(Cl)cc1,KCNH2,6.614393726401688,243.0,CHEMBL240
CCCCCCCN(CC)C/C=C\Cc1ccccc1,KCNH2,5.928854709548917,1178.0,CHEMBL240
CCCCCCCN(CC)CC#CC(c1ccccc1)c1ccccc1,KCNH2,6.623423042943488,238.0,CHEMBL240
CCCCCCCN(CC)CC#CCCc1ccc(C)cc1,KCNH2,5.723538195826755,1890.0,CHEMBL240
CCCCCCCN(CC)CC#CCCc1ccc(Cl)cc1,KCNH2,6.696031347622796,409.0,CHEMBL240
