smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score
CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.035897,0.0,8.035897,6.2689548,1.7669425,0.888888888888889,0.81473565
COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,7.987588,0.0,7.987588,6.19315,1.7944379,0.888888888888889,0.81472605
CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1,7.9377465,0.0,7.9377465,6.096618,1.8411283,0.8611111111111112,0.81215274
Fc1cccc(COc2ccc(Nc3ncnc4cc(-c5ccc[nH]5)sc34)cc2Cl)c1,7.8018675,0.0,7.8018675,5.883103,1.9187646,0.8611111111111112,0.81215197
CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.5822687,0.0,7.5822687,5.5888577,1.9934111,0.888888888888889,0.8118703
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.52138,0.0,7.52138,5.509833,2.011547,0.888888888888889,0.8104127
CCS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.555526,4.7683716e-07,7.5555253,5.5871243,1.9684014,0.888888888888889,0.80834466
CN(C)Cc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1,7.923011,4.7683716e-07,7.9230103,6.12665,1.796361,0.8611111111111112,0.80749875
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)S(C)(=O)=O,7.496775,0.0,7.496775,5.509833,1.9869423,0.888888888888889,0.80702955
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.6746836,4.7683716e-07,7.674683,5.747463,1.9272203,0.8611111111111112,0.80653256
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.561368,0.0,7.561368,5.5765967,1.9847713,0.8611111111111112,0.80590254
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,7.4876122,0.0,7.4876122,5.466599,2.0210133,0.8611111111111112,0.80538595
CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,7.689447,0.0,7.689447,5.833952,1.855495,0.888888888888889,0.8051615
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,7.492154,0.0,7.492154,5.482167,2.0099874,0.8611111111111112,0.8046483
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.5945473,0.0,7.5945473,5.5191164,2.0754309,0.7777777777777778,0.80299425
c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CN4CCOCC4)cc3)cc2n1,7.726645,0.0,7.726645,5.8119035,1.9147415,0.8033333333333333,0.7993722
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.64552,4.7683716e-07,7.6455197,5.7945347,1.8509855,0.8611111111111112,0.79840386
Cl.O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1,7.8806314,4.7683716e-07,7.880631,6.0557346,1.8248968,0.7755555555555556,0.7950434
O=C(/C=C/CNCc1ncccn1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,7.55655,4.7683716e-07,7.5565495,5.745216,1.8113341,0.888888888888889,0.7946525
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.4987006,0.0,7.4987006,5.70911,1.7895908,0.9166666666666667,0.7940242
Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,7.562114,4.7683716e-07,7.5621133,5.584914,1.9771996,0.7777777777777778,0.7927773
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,7.6401687,0.0,7.6401687,5.709286,1.9308825,0.7777777777777778,0.79262733
O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,7.5352874,4.7683716e-07,7.535287,5.5970626,1.9382248,0.7745733333333332,0.787545
Brc1cccc(Nc2ncnc3cccnc23)c1,7.1581635,0.0,7.1581635,5.288867,1.8692966,0.9166666666666667,0.7839716
c1ccc(CCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2ccnc2)cc1,7.960013,0.0,7.960013,6.3662033,1.5938096,0.8033333333333333,0.782959
O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,7.5067773,0.0,7.5067773,5.8211446,1.6856327,0.888888888888889,0.78116506
CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,7.674456,0.0,7.674456,6.0400167,1.6344395,0.8611111111111112,0.7809029
CC(C)S(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.5037413,0.0,7.5037413,5.846942,1.6567993,0.888888888888889,0.7784903
CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1,7.3957305,0.0,7.3957305,5.704753,1.6909776,0.888888888888889,0.77608037
CN(C)C/C=C/C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.3100333,0.0,7.3100333,5.598369,1.7116642,0.888888888888889,0.7736056
C=CC(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,7.4593954,4.7683716e-07,7.459395,5.840737,1.6186585,0.888888888888889,0.7729357
C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(F)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.62974,0.0,7.62974,5.8461094,1.7836308,0.7323942222222224,0.77241385
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC,7.452741,0.0,7.452741,5.8916893,1.5610518,0.9166666666666667,0.7717291
CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)S(C)(=O)=O,7.4846983,4.7683716e-07,7.484698,5.846942,1.6377563,0.8611111111111112,0.7717052
OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.3294883,0.0,7.3294883,5.661185,1.6683035,0.888888888888889,0.7707843
C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccccc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.62974,0.0,7.62974,5.896365,1.7333751,0.7443875555555556,0.7698155
CCOc1cc2ncnc(/C=C/c3ccccc3)c2cc1OCC,7.3959427,0.0,7.3959427,5.8293815,1.5665612,0.9166666666666667,0.7693712
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,7.436034,4.7683716e-07,7.4360337,5.860632,1.5754023,0.888888888888889,0.7679827
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,7.415778,4.7683716e-07,7.4157777,5.801102,1.614676,0.8611111111111112,0.7662397
COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,7.3909965,0.0,7.3909965,5.825252,1.5657444,0.888888888888889,0.7648858
CS(=O)(=O)CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,7.4260454,0.0,7.4260454,5.8901124,1.535933,0.8611111111111112,0.7598631
C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(OC)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.5136123,4.7683716e-07,7.513612,5.796189,1.7174234,0.7243702222222224,0.75961065
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,7.4046793,4.7683716e-07,7.404679,5.8623643,1.542315,0.8333333333333334,0.7551865
Fc1cccc(COc2ccc(Nc3ncnc4sc(-c5ccc[nH]5)cc34)cc2Cl)c1,7.4259596,4.7683716e-07,7.425959,5.9475775,1.4783821,0.8611111111111112,0.754823
CCNC(=O)O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,7.383124,4.7683716e-07,7.3831234,5.7876043,1.5955195,0.8055555555555556,0.7545974
CCNC(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,7.383124,4.7683716e-07,7.3831234,5.7876043,1.5955195,0.8055555555555556,0.7545974
COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(CC(N)=O)CC1,7.4138594,0.0,7.4138594,6.0006447,1.4132147,0.888888888888889,0.7526826
C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(Cl)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.5025873,0.0,7.5025873,5.8530836,1.6495037,0.7214242222222225,0.7526746
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.3367095,0.0,7.3367095,5.929711,1.4069986,0.9166666666666667,0.75244784
CN(C)Cc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,7.4555473,0.0,7.4555473,6.02509,1.4304571,0.8611111111111112,0.75210905
CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,7.414443,4.7683716e-07,7.4144425,5.9950585,1.4193845,0.8611111111111112,0.7490849
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,7.4377227,0.0,7.4377227,6.091349,1.3463736,0.888888888888889,0.74802715
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCN1CCCC1,7.381789,0.0,7.381789,6.0239077,1.3578815,0.888888888888889,0.74623746
O=C1NCc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,7.2053747,0.0,7.2053747,5.7397017,1.465673,0.8611111111111112,0.7426818
Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@H]5CCCN5)sc34)cc2Cl)c1,7.4342437,0.0,7.4342437,6.059423,1.3748207,0.8333333333333334,0.74200904
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,7.4413595,0.0,7.4413595,6.126013,1.3153467,0.8611111111111112,0.74132746
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)cc1,7.237767,0.0,7.237767,5.868028,1.369739,0.888888888888889,0.74007386
O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.196271,4.7683716e-07,7.1962705,5.8068047,1.3894663,0.888888888888889,0.7397251
Nc1ccccc1NC(=O)c1ccc(COc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,7.283446,4.7683716e-07,7.2834454,5.9022126,1.3812332,0.8611111111111112,0.73919684
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,7.4085283,4.7683716e-07,7.408528,6.1041884,1.3043399,0.8611111111111112,0.7387228
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,7.7495513,4.7683716e-07,7.749551,6.6994066,1.0501447,0.888888888888889,0.7376985
CN(C)C(=O)O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,7.288942,0.0,7.288942,5.8376365,1.4513054,0.8055555555555556,0.7372697
CN(C)C(=O)O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,7.288942,0.0,7.288942,5.8376365,1.4513054,0.8055555555555556,0.7372697
Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCCC5)cc4)sc23)cc1Cl,7.640528,0.0,7.640528,6.508696,1.1318321,0.8611111111111112,0.7352284
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,7.44567,4.7683716e-07,7.4456697,6.260919,1.184751,0.888888888888889,0.73428255
CCOC(=O)c1cn2ncnc(Nc3cccc(Br)c3)c2c1CC,6.9314437,0.0,6.9314437,5.519129,1.4123149,0.9166666666666667,0.73264974
COC(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,7.1245737,0.0,7.1245737,5.701783,1.4227905,0.8333333333333334,0.7307229
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,7.1002717,0.0,7.1002717,5.51662,1.5836515,0.7423811111111112,0.7299403
O=C(O[C@@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,7.1002717,0.0,7.1002717,5.51662,1.5836515,0.7423811111111112,0.7299403
O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.476011,0.0,8.476011,7.9320755,0.5439358,0.888888888888889,0.72972834
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.0699167,4.7683716e-07,7.0699162,5.7405596,1.3293571,0.888888888888889,0.72814786
CCN1CCN(CCCC#Cc2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,7.252538,0.0,7.252538,6.0283833,1.224155,0.888888888888889,0.72807384
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,7.075125,4.7683716e-07,7.0751247,5.5296764,1.5454488,0.7455555555555555,0.7258163
CC(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,7.1070275,0.0,7.1070275,5.757428,1.3495994,0.8333333333333334,0.72344136
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1,7.0794425,0.0,7.0794425,5.5837054,1.4957371,0.7477777777777778,0.7220158
COC[C@@H]1CCCN1C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.0853567,4.7683716e-07,7.085356,5.798066,1.2872906,0.8611111111111112,0.7210724
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,7.423941,0.0,7.423941,6.3783293,1.0456119,0.888888888888889,0.7210214
CS(=O)(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,7.063445,4.7683716e-07,7.0634446,5.7230186,1.3404264,0.8333333333333334,0.7204595
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNC(C)C)cc1,7.315802,4.7683716e-07,7.3158016,6.2180395,1.0977626,0.888888888888889,0.7201776
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,7.088093,0.0,7.088093,5.8689723,1.2191205,0.888888888888889,0.719411
CC(C)c1nsc(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)n1,7.056249,0.0,7.056249,5.8197455,1.2365036,0.888888888888889,0.7193399
COCCN1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,7.2454805,0.0,7.2454805,6.065657,1.1798234,0.8333333333333334,0.7155086
CCN1CCN(Cc2ccc(-c3cc4c(N[C@@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,7.62507,4.7683716e-07,7.6250696,6.6650023,0.96006775,0.8333333333333334,0.7152594
CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,7.62507,4.7683716e-07,7.6250696,6.6650023,0.96006775,0.8333333333333334,0.7152594
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c3s2)C1)N1CCOCC1,7.132966,0.0,7.132966,5.6709394,1.4620266,0.69,0.71307564
COc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(C)c3)c2cc1OC,7.0701513,4.7683716e-07,7.070151,5.9182296,1.1519217,0.888888888888889,0.712634
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ncc(CN2CCCC2)s1,7.180677,0.0,7.180677,6.0585074,1.1221695,0.8611111111111112,0.7113904
COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(C)CC1,7.2290354,4.7683716e-07,7.229035,6.1838226,1.0452127,0.888888888888889,0.7112412
COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1CN1CCC(N)CC1,7.1817007,0.0,7.1817007,5.966284,1.2154169,0.8033333333333333,0.71093404
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,7.3263197,4.7683716e-07,7.326319,6.326931,0.9993887,0.8611111111111112,0.7079291
C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(CCN5CCN(C)CC5)cc4)nc32)C1,7.4902143,4.7683716e-07,7.490214,6.4699807,1.0202336,0.7755555555555556,0.7051144
COc1cc2ncnc(Oc3cccc(Cl)c3)c2cc1OC,6.891764,0.0,6.891764,5.7789993,1.1127648,0.9166666666666667,0.70445514
COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,7.036902,4.7683716e-07,7.0369015,5.9212227,1.1156793,0.8611111111111112,0.70363367
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)Nc1ccccc1,7.2299714,0.0,7.2299714,6.2829666,0.9470048,0.888888888888889,0.70269483
CCOC(=O)c1cn2ncnc(Nc3ccc(F)c(Cl)c3)c2c1CC,6.8937483,0.0,6.8937483,5.834427,1.0593214,0.9166666666666667,0.69987804
