smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score,parent_smiles
CC(C)c1cccc(Nc2ncnc3cnc(C#N)cc23)c1,7.574988,0.0,7.574988,5.718935,1.8560529,0.9166666666666667,0.803654,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CCOc1cccc(Nc2ncnc3cc(CC)ccc23)c1,7.611505,4.7683716e-07,7.6115046,5.780675,1.8308301,0.9166666666666667,0.80327284,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N
Brc1nccn1CCCCOc1ccc2c(Nc3cccc(-c4cnccn4)c3)ncnc2c1,7.737952,0.0,7.737952,5.885052,1.8529,0.8611111111111112,0.80319303,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
Cc1cccc(Nc2ncnc3cnc(-c4ccccn4)cc23)c1,7.5115843,0.0,7.5115843,5.5874276,1.9241567,0.888888888888889,0.80227625,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CCOc1cc2ncnc(Nc3cccc(N(C)C)c3)c2cn1,7.5414133,4.7683716e-07,7.541413,5.6879487,1.8534646,0.9166666666666667,0.80174875,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
Cc1cccc(Nc2ncnc3cc(-c4ccccc4)ncc23)c1,7.5996003,4.7683716e-07,7.5996,5.7351203,1.86448,0.888888888888889,0.8014553,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CCc1cc2ncnc(Nc3cccc(C(C)C)c3)c2cn1,7.6881933,0.0,7.6881933,5.92331,1.7648835,0.9166666666666667,0.801337,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
COc1cccc(Nc2ncnc3cnc(C)cc23)c1,7.7854514,0.0,7.7854514,6.08003,1.7054214,0.9166666666666667,0.80099696,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CCc1cccc(Nc2ncnc3cnc(C#N)cc23)c1,7.5788393,0.0,7.5788393,5.7612715,1.8175678,0.9166666666666667,0.8004792,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CNc1cccc(Nc2ncnc3cc(N(C)C)ccc23)c1,7.6097193,4.7683716e-07,7.609719,5.8104,1.7993193,0.9166666666666667,0.80042636,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
Fc1cccc(Nc2ncnc3cc(-c4ccccc4)ccc23)c1,7.5737686,0.0,7.5737686,5.7105093,1.8632593,0.888888888888889,0.800057,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC
Fc1cccc(Nc2ncnc3cnc(-c4cnccn4)cc23)c1,7.4352355,0.0,7.4352355,5.49584,1.9393954,0.888888888888889,0.79979223,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
N#Cc1nccn1CCCCOc1ccc2c(Nc3cccc(F)c3)ncnc2c1,7.6588335,0.0,7.6588335,5.8487067,1.8101268,0.888888888888889,0.7996611,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CCOc1cc2c(Nc3cccc(CC)c3)ncnc2cn1,7.5865164,0.0,7.5865164,5.784443,1.8020735,0.9166666666666667,0.79950726,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
N#Cc1ccc2cncnc2c1,7.9593825,4.7683716e-07,7.959382,6.41865,1.5407324,0.9444444444444444,0.7994498,Nc1ccc2cncnc2c1
CCOc1cccc(Nc2ncnc3cnc(-c4cnccn4)cc23)c1,7.4202256,4.7683716e-07,7.420225,5.4780617,1.942164,0.888888888888889,0.7992839,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
