smiles,target_name,pActivity,activity_nM,target_chembl_id
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,ERBB2,6.6020599913279625,250.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,ERBB2,6.6020599913279625,250.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,ERBB2,6.481486060122112,330.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,ERBB2,6.638272163982407,230.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,ERBB2,6.537602002101044,290.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,ERBB2,6.537602002101044,290.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,ERBB2,5.954677021213342,1110.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,ERBB2,6.031517051446064,930.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,ERBB2,6.229147988357855,590.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,ERBB4,6.106793246940152,782.0,CHEMBL3009
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,EGFR,7.958607314841775,11.0,CHEMBL203
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,ERBB2,6.630784142589857,234.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(OCCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,ERBB2,5.6777807052660805,2100.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(OCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,ERBB2,6.721246399047171,190.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,ERBB2,7.180456064458131,66.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,ERBB2,5.468521082957745,3400.0,CHEMBL1824
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,ERBB2,5.537602002101044,2900.0,CHEMBL1824
C#Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,ERBB2,8.154901959985743,7.0,CHEMBL1824
C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4CNCCO4)c23)c1,ERBB2,7.698970004336019,20.0,CHEMBL1824
C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,EGFR,7.070581074285707,85.0,CHEMBL203
C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,ERBB2,5.42021640338319,3800.0,CHEMBL1824
C/C(=C\c1c(C)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1)C(=O)NCCN1CCOCC1,ERBB2,7.0915149811213505,81.0,CHEMBL1824
C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],EGFR,5.026872146400301,9400.0,CHEMBL203
C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,EGFR,5.1249387366083,7500.0,CHEMBL203
